CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	tcga_code
PL45_PANCREAS	ACH-001171	PL45	primary	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		NA	caucasian		Caucasian			CCLE	NA	NA	NA	NA	NA	NA	NA	pancreas	pancreas	NA	NA	exocrine	exocrine_adenocarcinoma		PAAD
NCIH2347_LUNG	ACH-000875	NCI-H2347	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		54	caucasian		Caucasian		lung_cancer	CCLE	ATCC	Mixed, majority adherent	RPMI 1640 +10% FBS	NA	5%DMSO		181.8	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	250.704126	NSCLC	NSCLC_adenocarcinoma		LUAD
SW1990_PANCREAS	ACH-000155	SW 1990	primary	pancreas	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	NIBRI						NA	pancreas	pancreas	Pancreas:Carcinoma	103.2181425	exocrine	exocrine_adenocarcinoma		PAAD
HS940T_FIBROBLAST	ACH-000135	Hs 940.T	primary	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male		57	caucasian		Caucasian			CCLE	GNF						NA	melanoma	fibroblast_like	Skin:Melanoma	81.50141124	fibroblast_skin			SKCM
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000069	Hs 611.T	primary	haematopoietic_and_lymphoid_tissue	spleen	NS	NS	lymphoid_neoplasm	Hodgkin_lymphoma	NS	NS	female		48			Caucasian			CCLE	NIBRI						NA	lymphoma_Hodgkin	lymphoma_Hodgkin	Lymphoma:Hodgkin	73.30584648	hodgkin_lymphoma			NA
TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000285	Toledo	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	female	adult	NA	caucasian		Caucasian			CCLE	ATCC	suspension, lymphoblast	RPMI-1640 + 10% FBS	NA	5%DMSO		51.4	lymphoma_DLBCL	lymphoma_DLBCL	Lymphoma:NH_B_cell	88.11498549	non_hodgkin_lymphoma	DLBCL		DLBC
RERFGC1B_STOMACH	ACH-000144	RERF-GC-1B	metastasis	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male		41	asian	japan	Asian	lymph_node		CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	113.3381055	gastric_adenocarcinoma			STAD
HT1080_SOFT_TISSUE	ACH-000054	HT-1080	metastasis	soft_tissue	fibrous_tissue_and_uncertain_origin	NS	NS	fibrosarcoma	NS	NS	NS	male		35	caucasian		Caucasian	acetabulum	fibrosarcoma_cancer	CCLE	ATCC	Epithelial Adherent	EMEM+10%FBS	NA	5%DMSO		42.7	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Fibro	79.58792792	fibrosarcoma			SARC
NCIH2087_LUNG	ACH-000841	NCI-H2087	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		69	caucasian		Caucasian	lymph_node	lung_cancer	CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES	5% DMSO		104.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	212.0987614	NSCLC	NSCLC_adenocarcinoma		LUAD
COV318_OVARY	ACH-000256	COV318	primary	ovary	NS	NS	NS	carcinoma	NS	NS	NS	female		NA			Caucasian			CCLE	ECACC	Polyglonal and fusiform adherent	DMEM + 10% FBS	2mM Glutamine	5%DMSO		93.1	ovary	ovary	Ovary:Carcinoma	99.50888996	ovary_adenocarcinoma	high_grade_serous		OV
NCIH2085_LUNG	ACH-000451	NCI-H2085	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		45			Caucasian			CCLE	ATCC		DMEM:F12 (1:1) + 10% FBS	0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES	5% DMSO		98.9	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	111.5684726	NSCLC	NSCLC_adenocarcinoma		LUAD
NCIH510_LUNG	ACH-000871	NCI-H510	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	male		56	caucasian		Caucasian			CCLE	ATCC	mixed line	F-12K  ATCC  + 10% FBS	NA	5% DMSO		979	lung_small_cell	lung_small_cell	Lung:SCLC	259.731865	SCLC			SCLC
CAKI1_KIDNEY	ACH-000433	Caki-1	metastasis	kidney	NS	NS	NS	carcinoma	clear_cell_renal_cell_carcinoma	NS	NS	male		49	caucasian		Caucasian	skin	clear_cell_carcinoma	CCLE	ATCC	Adherent epithelial.	McCoy's 5A +10%FBS	NA	5%DMSO		88.3	kidney	kidney	Kidney:Carcinoma	116.8955149	renal_cell_carcinoma	clear_cell		KIRC
NCIH716_LARGE_INTESTINE	ACH-000491	NCI-H716	metastasis	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		33	caucasian		Caucasian	ascites		CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	118.5641877	colorectal_adenocarcinoma			COAD/READ
NCIH2066_LUNG	ACH-000727	NCI-H2066	primary	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		70	caucasian		Caucasian			CCLE	ATCC		DMEM:HAM's F12  1:1 (ATCC catalog # 30-2006) + 5%  FBS	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	5%DMSO		80.3	lung_small_cell	lung_small_cell	Lung:SCLC	161.4303635	SCLC			SCLC
NCIH1341_LUNG	ACH-000129	NCI-H1341	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		NA			Caucasian	cervix		CCLE	ATCC	Suspension	RPMI-1640   + 5% FBS	NA	10%DMSO		131.8	lung_small_cell	lung_small_cell	Lung:SCLC	84.02451807	SCLC			SCLC
NCIH2029_LUNG	ACH-000298	NCI-H2029	metastasis	lung	NS	NS	NS	carcinoma	small_cell_carcinoma	NS	NS	female		69	caucasian		Caucasian	lymph_node		CCLE	ATCC		DMEM:HAM's F12  1:1  + 5%  FBS	.005 mg/ml insulin, .01 mg/ml transferrin, 30nM sodium selenite, 10 nM hydrocortisone, 10 nM beta estradiol, 10 mM HEPES, 2 mM L-glutamine	5%DMSO		171.6	lung_small_cell	lung_small_cell	Lung:SCLC	89.90036362	SCLC			SCLC
C3A_LIVER	ACH-001021	C3A	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		15	caucasian		Caucasian			CCLE	NA	NA	NA	NA	NA	NA	NA	liver	liver	NA	NA	hepatocellular_carcinoma			LIHC
SW480_LARGE_INTESTINE	ACH-000842	SW480	primary	large_intestine	colon	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		50	caucasian		Caucasian		colon_cancer	CCLE	ATCC	Epithelial adherent	L15+10%FBS	NA	5%DMSO		56.4	colorectal	colorectal	Colorectal:Carcinoma	240.1277804	colorectal_adenocarcinoma			COAD/READ
HS746T_STOMACH	ACH-000616	Hs 746T	metastasis	stomach	NS	NS	NS	carcinoma	NS	NS	NS	male		74	caucasian		Caucasian	muscle		CCLE	NIBRI						NA	stomach	stomach	Gastric:Carcinoma	130.8366927	gastric_adenocarcinoma			STAD
LU65_LUNG	ACH-000438	LU65	primary	lung	NS	NS	NS	carcinoma	non_small_cell_carcinoma	NS	NS	male		64	asian		Asian		lung_cancer	CCLE	JCRB	Lymphocyte like with partially attached cells	RPMI 1640+10%FBS	NA	5% DMSO		NA	lung_NSC	lung_NSC	Lung:NSCLC_Large_Cell	139.7910668	NSCLC	NSCLC_large_cell		NA
HS739T_FIBROBLAST	ACH-000413	Hs 739.T	primary	breast	NS	NS	NS	carcinoma	NS	NS	NS	female		52	asian		Asian			CCLE							NA	breast	fibroblast_like	NA	147.0067171	fibroblast_breast			NA
SNUC2A_LARGE_INTESTINE	ACH-000967	SNU-C2A	primary	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		43	asian		Asian			CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	667.1912736	colorectal_adenocarcinoma		MSI	COAD/READ
HEC151_ENDOMETRIUM	ACH-000972	HEC-151	primary	endometrium	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		NA	asian		Asian			CCLE	HSSRB	epithelial-like	Eagle's minimal essential medium with 15%  fetal calf serum	NA		NA	NA	endometrium	endometrium	Endometrium:Carcinoma	741.7712612	endometrial_adenocarcinoma			UCEC
MSTO211H_PLEURA	ACH-000335	MSTO-211H	metastasis	pleura	NS	NS	NS	mesothelioma	NS	NS	NS	male		62	caucasian		Caucasian	pleura	lung_cancer	CCLE	ATCC	adherenet	RPMI+10%FBS	NA	5% DMSO		35.6	mesothelioma	mesothelioma	Lung:Mesothelioma	124.150508	mesothelioma			MESO
RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000654	Raji	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	Burkitt_lymphoma	NS	NS	male		12	african		African_american		lymphoma	CCLE	NIBRI						NA	lymphoma_Burkitt	lymphoma_Burkitt	Lymphoma:NH_B_cell	170.4549408	non_hodgkin_lymphoma	b_cell_burkitt		DLBC
SKMEL1_SKIN	ACH-000465	SK-MEL-1	metastasis	skin	NS	NS	NS	malignant_melanoma	NS	NS	NS	male		29	caucasian		Caucasian	lymph_node		CCLE	NIBRI						NA	melanoma	melanoma	Skin:Melanoma	112.654321	melanoma			SKCM
SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000953	SUP-T1	metastasis	haematopoietic_and_lymphoid_tissue	NS	NS	NS	lymphoid_neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	male		8	caucasian		Caucasian	pleura		CCLE	NIBRI						NA	T-cell_ALL	T-cell_ALL	Leukemia:ALL	509.7698434	ALL	t_cell		ALL
JHH7_LIVER	ACH-000848	JHH-7	primary	liver	NS	NS	NS	carcinoma	hepatocellular_carcinoma	NS	NS	male		53	asian	japan	Asian			CCLE	NIBRI						NA	liver	liver	Liver:HCC	257.2902848	hepatocellular_carcinoma			LIHC
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000612	HuT 102	primary	haematopoietic_and_lymphoid_tissue	skin	NS	NS	lymphoid_neoplasm	mycosis_fungoides-Sezary_syndrome	NS	NS	male		26	african_american		African_american		mycosis_fungoides	CCLE	ATCC	suspension	RPMI+10%FBS		5%DMSO		NA	lymphoma_other	T-cell_lymphoma_other	NA	135.5808971	lymphoma_unspecified	t_cell		NA
5637_URINARY_TRACT	ACH-000905	5637	primary	urinary_tract	bladder	NS	NS	carcinoma	NS	NS	NS	male		68	caucasian		Asian			CCLE		adherent	RPMI1640+10%FBS	NA	5%DMSO		60.9	urinary_tract	urinary_tract	Bladder:Carcinoma	278.0195779	bladder_carcinoma			BLCA
HCC38_BREAST	ACH-000276	HCC38	primary	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		50	caucasian		Caucasian		breast_cancer	CCLE	ATCC	adherent, single cells and loosely attached clusters	RPMI-1640 + 10% FBS	NA	5%DMSO		103.3	breast	breast	Breast:Carcinoma	96.75975762	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	BRCA
DU4475_BREAST	ACH-000258	DU4475	metastasis	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		62	caucasian		Caucasian	breast	breast_cancer	CCLE	ATCC	suspension, multicell aggregates	RPMI-1640 + 10% FBS	NA	5%DMSO		145.6	breast	breast	Breast:Carcinoma	107.2866384	breast_carcinoma	ERneg_HER2neg	luminal_HER2_amp	BRCA
NCIH1573_LUNG	ACH-000916	NCI-H1573	metastasis	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	female		35	caucasian		Caucasian	soft_tissue		CCLE	ATCC	Adherent	DMEM/F12(1:1) +10 % FBS	.02 mg/ml insulin, .01 mg/ml transferrin, 25nM sodium selenite, 1ng/mL EGF,  50 nM hydrocortisone, 2 mM L-glutamine, 0.5 sodium pyruvate	5% DMSO		118.2	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	337.2852014	NSCLC	NSCLC_adenocarcinoma		LUAD
NCIH508_LARGE_INTESTINE	ACH-000360	NCI-H508	metastasis	large_intestine	caecum	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		55	caucasian		Caucasian	abdominal_wall		CCLE	NIBRI						NA	colorectal	colorectal	Colorectal:Carcinoma	94.03118402	caecum_adenocarcinoma			COAD/READ
NCIH1651_LUNG	ACH-000893	NCI-H1651	primary	lung	NS	NS	NS	carcinoma	adenocarcinoma	NS	NS	male		71			Caucasian			CCLE	ATCC	adherent	DMEM:F12 (1:1) + 10% FBS	0.02 mg/ml insulin, 0.01 mg/ml transferrin, 25 nM sodium selenite, 50 nM Hydrocortisone, 1 ng/ml EGF(don't filter), 0.01 mM ethanolamine, 0.01 mM phosphorylethanolamine, 100 pM triiodothyronine, 0.5% bovine serum albumin, 0.5 mM sodium pyruvate,  2mM L-glutamine, 10nM HEPES	5% DMSO		138.7	lung_NSC	lung_NSC	Lung:NSCLC_Adeno	272.2196239	NSCLC	NSCLC_adenocarcinoma		LUAD
SKUT1_SOFT_TISSUE	ACH-000939	SK-UT-1	primary	soft_tissue	smooth_muscle	uterus	NS	leiomyosarcoma	NS	NS	NS	female		75	caucasian		Caucasian			CCLE	ATCC	adherent epithelial	EMEM + 10% FBS	NA	5%DMSO		41.6	soft_tissue	soft_tissue	Soft_Tissue:Sarcoma_Leiomyo	448.08848	leiomyosarcoma			SARC
MDAMB175VII_BREAST	ACH-000759	MDA-MB-175-VII	metastasis	breast	NS	NS	NS	carcinoma	ductal_carcinoma	NS	NS	female		56	african_american		African_american	pleura	invasive_ductal_carcinoma	CCLE	ATCC	Adherent	RPMI+10%FBS	NA	5%DMSO		133.7	breast	breast	Breast:Carcinoma	157.8873017	breast_ductal_carcinoma	ERpos_HER2neg	HER2_amp	BRCA
